ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B019H9IHS6","Ansell","Ansell HyFlex 48-101 Work Gloves for Multi-purpose, Mechanic Glove Abrasion-resistant, Black - Men's Workwear Durable Size 6 (Pack of 12)","DIY & Tools","Amazon","1","AMZ","26.98","6.32",,,"140,389","4","74","0","7.1x10.2x4.3","0.4","Large Standard-Size","6",,
"B086DKHZF7","ZJCTUO","50/100 Disposable Vinyl Gloves in a Box Clear Powder-Free Latex-Free Medium Large Size Multipurpose Gloves","DIY & Tools","ZJCTUO","1","MFN","12.99","0.00","0","0.00","119,521","0","0","0","n/a","n/a","n/a","6",,
"B085T7DSRB","ZUHANGMENG","ZUHANGMENG 100Pcs Eco-friendly Disposable Food Gloves, Industrial Medical Gloves Clear Cleaning, Garden Household Restaurant BBQ Clear Multi-functional Gloves Food Grade","Home & Kitchen","N/A","1","MFN","0.96","0.00","8","7.68","258,605","0","0","0","n/a","n/a","n/a","6",,
"B072FN1Q7X","($) TOMSHOO","($) TOMSHOO 11 in 1 Outdoor Survival Kit Multi-Purpose Emergency Equipment First Aid Survival Gear Tool Kits Set for Outdoor Travel Hiking Camping Biking Climbing","($) DIY & Tools","($) Dailbox","3","FBA","21.99","4.57","226","4,969.74","11,208","4.5","87","1","4.6x6.0x1.9","0.93","Large Standard-Size","9",,
"B087CM7H18","($) SUPVOX","($) SUPVOX 100pcs Disposable Gloves Latex Gloves Disposable Gloves PVC Transparent Gloves Multi-Purpose Thickening Protection Gloves for Health (Size S)","($) N/A","($) Karminna","n/a","N/A","27.69","0.00",,,,"0","0","n/a","n/a",,"n/a",,,
"B00YC2K0XY","($) Freiherr","($) 10 Pairs of Tatendrang I EN388 Work Gloves with Latex Coating - by Freiherr, Size M","($) DIY & Tools","($) ACE-Europe","1","FBA","14.99","4.24","240","3,597.60","5,653","4.5","296","0","5.8x9.8x3.9","1.15","Large Standard-Size","9",,
"B00ZL71JV6","($) Click","($) Multi Purpose Latex Poly Coated Glove, Green - Large x10","($) DIY & Tools","($) IndustraCare","n/a","N/A","14.99","0.00",,,"1,071,586","0","0","n/a","n/a",,"n/a",,,
"B085Q4DM44","Hemoton","Hemoton 100 Pcs Disposable Nitrile Gloves Latex Free Gloves Medical Gloves Rubber Gloves Multipurpose Gloves(Blue,L)","DIY & Tools","Brunelgo","n/a","N/A","15.99","0.00",,,"145,406","0","0","n/a","n/a",,"n/a",,,
"B086MHJXLB","Qianyou","Qianyou 100PCS Blue Nitrile Gloves Latex Free Powder Free Disposable Multipurpose Gloves for Work,Food Preparation,Tattoo, Cleaning,Wholesale,Crafting,Painting, Cleaning Right & Left Hand Gloves-M","DIY & Tools","Qiyou","n/a","N/A","15.99","0.00",,,"181,857","0","0","n/a","n/a",,"n/a",,,
"B085ZCVKWG","BGH","BGH ER-NMBGH 10Pairs Industrial Disposable Gloves,can Touching Screen,Latex Free Non Sterile Mittens,Nitrile Disposable Gloves Multi-Purpose,Latex-Free Glove,Household,Medical or Food-prep Uses","Sports & Outdoors","N/A","n/a","N/A","14.15","0.00",,,"37,750","0","0","n/a","n/a",,"n/a",,,
