ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B07NSVTFS3","Comfy Cubs","Muslin Burp Cloths 6 Pack Large 100% Cotton Hand Washcloths 6 Layers Extra Absorbent and Soft","Baby Products",,"1","FBA","12.95","4.21","476","6,164.20","1,268","5","2,119","182","7.3x10.7x2.6","0.62","Large Standard-Size","7",,
"B07GR6WDKZ","Bloomsbury Mill","Bloomsbury Mill - Pack of 6 x Super Soft Muslin Squares - 100% Pure Cotton Muslin In Gifting Ribbon - Stars, Chevrons & Polka Dots Designs - Grey & White - 70cm x 70cm","Baby Products",,"1","FBA","14.99","5.05","632","9,473.68","936","4.5","299","23","9.2x13.1x2.0","0.86","Large Standard-Size","7",,
"B07BB1RMBL","Muslinz","MuslinZ 6PK 100% Pure Cotton Baby Muslin Squares 70x70cms - Mint Spot Mix","Baby Products",,"2","MFN","10.99","3.82","175","1,923.25","1,974","4.5","180","3","7.8x9.4x1.7","1.01","Large Standard-Size","5",,
"B083DFLZSQ","PINPOXE","Baby Muslin Squares, Baby Wash Cloth, Baby Washcloths Muslin, Muslin Cotton Baby Wipes, Baby Face Towel and Wash Cloths for Bath, Soft Baby Muslin Cloths, Wipes, Bibs for Girls & Boys, 30 * 30cm","Baby Products",,"1","FBA","17.99","4.97","97","1,745.03","3,757","5","273","80","10.0x12.4x4.2","0.45","Large Standard-Size","9",,
"B081PNLFLQ","Comfy Cubs","Burp Cloths 6 Pack Large 100% Cotton Washcloths Double Layered Burping Cloths Extra Absorbent and Soft (Grey Pattern) - Comfy Cubs","Baby Products",,"1","FBA","14.95","4.41","96","1,435.20","4,681","4.5","27","10","6.3x8.8x1.7","0.55","Large Standard-Size","4",,
"B07GR3YKL5","Bloomsbury Mill","Bloomsbury Mill - Pack of 6 x Super Soft Muslin Squares - 100% Pure Cotton Muslin in Gifting Ribbon - Stars, Chevrons & Polka Dots Designs - Pink & White - 70cm x 70cm","Baby Products",,"1","FBA","14.99","4.52","230","3,447.70","7,552","4.5","196","28","8.8x13.1x2.1","0.84","Large Standard-Size","7",,
"B07TKB3SHV","Chuckle","chuckle 12 Pack Baby Muslin Squares, 30x30cm - Extra Soft 6 Layered Cotton Cloths - Quick Drying, Highly Absorbent, Washable & Reusable Washcloths Baby Face Towel for Newborn Babies.","Baby Products",,"1","FBA","11.99","4.07","39","467.61","12,267","4.5","37","2","9.2x14.8x2.4","0.6","Large Standard-Size","7",,
"B07VVKPXH4","EXTSUD","EXTSUD Baby Muslin Washcloths 10 Pack, 10x 10 Inches Natural Muslin Cotton Baby Wipes, Soft Organic 100% Cotton Extra Soft Baby Wash Cloth Newborn Baby Face Towel and Muslin Washcloth","Baby Products",,"1","FBA","17.99","3.06","287","5,163.13","5,114","4.5","126","2","9.1x10.0x2.3","0.44","Large Standard-Size","7",,
"B07WMYX8W8","Bambino Mio","Bambino Mio, Muslin Squares, Bug's Life, 3 Pack","Baby Products",,"2","AMZ","12.99","4.12","63","818.37","4,012","5","12","0","6.1x8.3x1.7","0.49","Large Standard-Size","6",,
"B07RC17MKR","Tiny Alpaca","Tiny Alpaca Pack of 5 Organic Muslin Squares Baby Burp Cloths 60X60CM Animal Designs","Baby Products",,"1","MFN","17.99","4.75","187","3,364.13","2,550","5","54","3","7.9x9.1x1.7","0.62","Large Standard-Size","4",,
"B01LD2OIW4","Darling","Darling Premium Quality Baby Muslin Squares 100% Cotton Supersoft Pack of 12 (White)","Baby Products",,"2","FBA","11.99","4.24","412","4,939.88","1,117","4.5","36","3","6.9x10.3x3.9","1.98","Large Standard-Size","4",,
"B07J1Q48F4","LEBCO","Animal Friends Set of 4 Muslin Squares","Baby Products",,"1","FBA","13.99","4.27","272","3,805.28","2,104","4.5","129","10","5.9x8.1x1.7","0.4","Large Standard-Size","2",,
"B01DI51BHY","($) MAKIAN","($) Makian - Baby Muslin Squares / Burp Cloth / Swaddles, 10 Pack, Large 80x80 cm, White | Premium Quality - Double Weaved,  OEKO-TEX Certified, washable at 90°C","($) Baby Products","($) ","2","FBA","16.99","4.85","150","2,548.50","3,379","4.5","1,766","44","7.0x9.4x4.4","1.63","Large Standard-Size","7",,
"B0786SVJ72","($) CuddleBug","($) CuddleBug – Muslin Baby Swaddle Blankets for Boys and Girls 0 to 3 Months - Large 4 Feet x 4 Feet – Unisex 100% Premium Muslin Cotton Multifunctional Baby Blankets - 4 Pack (Tutti Frutti)","($) Baby Products","($) ","1","FBA","29.95","6.93","30","898.50","14,644","5","1,445","21","9.1x12.9x2.2","1.76","Large Standard-Size","9",,
"B07HL689MS","($) N/A","($) Amazon Essentials 6-Pack Burp Cloth Infant and Toddler Costumes, Girl Fruit, One size","($) Baby Products","($) ","1","AMZ","13.99","4.24",,,,"4.5","399","48","9.4x10.3x1.3","0.75","Large Standard-Size","1",,
"B083DFLZSQ","($) PINPOXE","($) Baby Muslin Squares, Baby Wash Cloth, Baby Washcloths Muslin, Muslin Cotton Baby Wipes, Baby Face Towel and Wash Cloths for Bath, Soft Baby Muslin Cloths, Wipes, Bibs for Girls & Boys, 30 * 30cm","($) Baby Products","($) ","1","FBA","17.99","4.97","97","1,745.03","3,757","5","273","80","10.0x12.4x4.2","0.45","Large Standard-Size","9",,
"B085ZXWM9P","($) Momcozy","($) Momcozy Baby Muslin Cloths, Baby Wash Cloth 10 Pack 11.8' x 11.8', 100% Cotton Soft Baby Towels Set, Reusable Muslin Squares Cleaning Cloth for Bath, Bibs and Hands, Unisex, White","($) Baby Products","($) ","1","FBA","12.99","4.12","3","38.97","6,635","4.5","12","0","8.2x11.8x1.7","0.49","Large Standard-Size","8",,
"B07ZJJXZM6","($) AVERY ROW","($) Avery Row Muslin washcloths, 0.1 kg","($) Baby Products","($) ","2","AMZ","12.00","3.97","1","12.00","84,706","-1","0","0","5.1x5.7x1.3","0.15","Large Standard-Size","4",,
"B078SNRQSC","PB PEGGYBUY","Baby Muslin Washcloths 6 Pack, 100% Cotton Natural Baby Towels with Printed Design, Newborn Baby Face Towels Bath Wash Cloths, Extra Soft, Absorbent 10.2'x10.2'","Baby Products",,"2","FBA","8.59","2.86","233","2,001.47","1,236","4.5","311","7","6.4x9.3x1.6","0.31","Large Standard-Size","7",,
"B01N0CGRKD","EmJoyShop","3 Pack Large Muslin Squares 80x70cm Natural Cloth Reusable Bibs Wipes 100% Cotton (White)","Baby Products",,"1","MFN","4.99","2.03","40","199.60","9,006","5","1","0","8.7x8.7x0.7","0.4","Small Standard-Size","1",,
"B07BVSM7WQ","Busy Mom","8 Pack Newborn Baby Muslin Washcloths Extra Soft 2 Layers Gauze Premium Natural Cotton Baby Drooling Nursing Towels 30x30cm","Baby Products",,"1","MFN","9.49","2.39","68","645.32","26,602","3.5","61","1","5.0x8.9x1.0","0.22","Large Standard-Size","7",,
"B0724YV7WK","BABY TOWN","Newborn Baby Muslin Cloth Squares (3 Pack 76x76cm) 100% Cotton Swaddle Blanket For Boys & Girls","Baby Products",,"2","MFN","7.99","3.34",,,,"4.5","241","10","6.9x8.7x2.4","0.49","Large Standard-Size","4",,
"B07TJ4XX8G","Lekebaby","Lekebaby Muslin Squares 10 Pack Baby Wash Cloths 12.5' x 12.5' Soft for Newborn, Unisex","Baby Products",,"1","FBA","10.99","3.92","188","2,066.12","1,155","4","97","5","8.3x12.2x2.4","0.64","Large Standard-Size","7",,
"B07JRGGJZW","Bambino Mio","Bambino Mio, Muslin Squares, Rainforest, 3 Pack","Baby Products",,"2","AMZ","12.99","4.12","93","1,208.07","3,974","4.5","40","-73","6.4x8.3x1.7","0.57","Large Standard-Size","6",,
"B0198845PA","Muslinz","Muslinz Luxury Bamboo/Organic Cotton Muslin Squares (70 cm, White/Aqua Blue Leaf Print, Pack of 3) MUZBC-3L70B","Baby Products",,"2","AMZ","12.99","4.00","120","1,558.80","1,893","4.5","52","2","5.3x7.3x1.2","0.71","Large Standard-Size","1",,
