ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B00IEV9ZFI","Philips","Philips Avent All Baby Care Essentials Set Including Digital Thermometer, Nasal Aspirator, Nail and Hair Care - SCH400/00","Baby Products",,"1","AMZ","33.21","7.12","340","11,291.40","1,896","4.5","2,571","26","4.6x7.0x2.2","0.66","Large Standard-Size","15",,
"B07CMC775D","Aycorn","Aycorn Digital Baby Bath and Room Thermometer. Fast and Accurate Water Readings with LED Warning Alarm Ensures Your Child's Safety. Cute Floating Bathtub Toy Makes Perfect Bathtime Fun for Infants","Baby Products",,"1","FBA","9.97","2.85","1,567","15,622.99","391","4.5","360","21","4.2x4.6x1.1","0.18","Large Standard-Size","9",,
"B0867C8K4P","Liliannh","Digital Body Thermometer, 20s Fast Reading, Underarm Thermometer with Voice Prompt and Memory for Baby Kids Adult(greenpinecone)","Baby Products",,"1","N/A","2.54","3.43","33","83.82","4,867","4.5","6","0","1.4x5.1x0.7","0.04","Small Standard-Size","7",,
"B0872VXKGH","COOTA",,,,"n/a","N/A","0.00","0.00",,,,"5","2","n/a","n/a",,"n/a",,,
"B0868DLL5J","yivans","Digital LCD Thermometer, Electronic Thermometer Measurement for Fever, Oral Thermometer Temperature Meter for Adults and Babies(greenpinecone）","Baby Products",,"1","MFN","9.99","0.00","42","419.58","23,592","-1","0","0","n/a","n/a","n/a","8",,
"B0867CKN95","Liliannh","Digital Medical Thermometer, DAYPLAY Baby Flu Protective Device Rectal and Oral Thermometer for Adults and Kids Accurate and Fast Readings with Fever Indicator-Random Style Colors","Baby Products",,"1","MFN","9.99","2.28","44","439.56","19,778","-1","0","-1","1.4x5.5x0.7","0.07","Small Standard-Size","7",,
"B085VTB66M","Charlemain","Baby Bath Thermometer, Bath Water Temperature Thermometer, Digital Timer Clock and Room Thermometer, Floating Bath Toy in Bathtub Swimming Pool with LED Warning Alarm, Fish","Baby Products",,"1","FBA","11.98","3.94","41","491.18","8,063","4.5","23","0","3.2x4.8x2.8","0.26","Large Standard-Size","6",,
"B086C4L4YN","($) Lictin","($) Lictin Digital Body Thermometer - Baby Thermometers Oral Underarm Temperature Accurate Fast Read and Memory Fuction Electronic Thermometer for Kids and Adults","($) Baby Products","($) ","1","MFN","2.99","1.73","63","188.37","3,330","-1","0","0","0.8x3.9x0.6","0.07","Small Standard-Size","8",,
"B0861LK579","($) LPOW","($) Forehead Thermometer for Adults, Baby Thermometer for Fever, LPOW Non Contact Infrared Body Thermometer and Surface Thermometer 2 in 1 Dual Mode Medical Thermometer","($) Health & Personal Care","($) ","1","MFN","44.99","8.92","28","1,259.72","85,715","5","3","3","3.5x5.1x1.6","0","Large Standard-Size","8",,
"B08776KWHF","($) CLSPC","($) Thermometer for Adults, Non-Contact Ear and Forehead Digital Infrared Thermometer with CE FDA Approved Suitable for Baby Children and Adults","($) Baby Products","($) ","1","MFN","53.99","0.00","1","53.99","34,796","-1","0","0","n/a","n/a","n/a","3",,
