#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
26,"Magic Gate For Dogs, Seen-through Mesh Screen Gate Folding stair gate safety gate for baby and pets easily install anywhere with stick hooks 100cm x 75cm",B081YJ6K8X,SZELAM,Baby Products,11.29,4114,58,655,10,Jan 25 2020,2.7,0.28,https://www.amazon.co.uk/dp/B081YJ6K8X/
27,Summer Infant Retractable Gate,B014X67ED2,Summer Infant,Baby Products,59.99,5431,44,2640,362,Apr 28 2017,3.9,2.85,https://www.amazon.co.uk/dp/B014X67ED2/
28,BabyDan Wide Pressure Gate (86-93.3 cm),B009FVTKQU,BabyDan,Baby Products,38.99,1674,196,7642,55,Aug 20 2016,4.3,5.1,https://www.amazon.co.uk/dp/B009FVTKQU/
29,Bettacare Extra Narrow Stair Gate (61cm - 66.5cm),B000KGCKPC,Bettacare,Baby Products,32.95,1230,254,8369,159,Feb 1 2009,4.4,2,https://www.amazon.co.uk/dp/B000KGCKPC/
30,"GYMAX. Mesh Safety Gates for Babies and Pets, Easy Latch and Retractable Design, Extensible Isolated Barrier Net Install Anywhere, 130 x 88cm",B084JLZJ4S,GYMAX.,Baby Products,64.9,14270,17,1103,0,--,3.9,3.14,https://www.amazon.co.uk/dp/B084JLZJ4S/
31,"IB-Style - Adjustbale Door and Stair Safety gate""Megane"" White-Grey 74-143 cm clampable - no Drilling Needed | Width: 102-115 cm",B077YRN9LY,IB-Style,Baby Products,0,246232,1,,601,,4.1,7,https://www.amazon.co.uk/dp/B077YRN9LY/
32,BabyDan Premier True Pressure Fit Baby Safety Stair Gate White All Widths (86cm-93.3cm),B00TSPIZL4,BabyDan,Baby Products,42.85,15384,16,686,121,,4.2,6,https://www.amazon.co.uk/dp/B00TSPIZL4/
33,BabyDan Premier True Pressure Fit Baby Safety Stair Gate Silver All Widths (86cm-93.3cm),B00TSOUXA6,BabyDan,Baby Products,42.85,8179,30,1286,51,,4.0,6.02,https://www.amazon.co.uk/dp/B00TSOUXA6/
34,"Bettacare Child and Pet Gate Pressure Fit Stair and Pet Gate 75cm - 147.5cm (87.9cm - 95.5cm, White)",B01DPDEWFC,Bettacare,Baby Products,57.95,17732,14,811,607,,4.5,9.2,https://www.amazon.co.uk/dp/B01DPDEWFC/
35,"Callowesse Carusi Narrow Stair Gate. Self Closing, Quality Pressure Fitted Baby Gate. No Tools Required. (63-70cm, White)",B07587LD96,Callowesse,Baby Products,34.99,1821,182,6368,404,Sep 27 2017,4.6,4.12,https://www.amazon.co.uk/dp/B07587LD96/
36,Wall Nanny - Baby Gate Wall Protector (4 Pack) Protect Walls & Doorways from Pet & Dog Gates - for Child Pressure Mounted Stair Safety Gate - No Safety Hazard On Bottom Spindles - Saver White,B01N5PTKXS,Wall Nanny,Baby Products,13.95,1637,200,2790,3054,Sep 27 2019,4.7,0.03,https://www.amazon.co.uk/dp/B01N5PTKXS/
37,BabyDan Avantgarde True Pressure Fit Safety Gate (Beech/Silver),B007XTDGQ6,BabyDan,Baby Products,44.99,3692,72,3239,46,Jul 25 2011,4.3,4,https://www.amazon.co.uk/dp/B007XTDGQ6/
38,BabyDan Premier True Pressure Fit Baby Safety Stair Gate Black All Widths (79.6cm-86.5cm),B00TSP5BZM,BabyDan,Baby Products,37.9,17298,14,531,119,Jul 29 2015,4.3,5.64,https://www.amazon.co.uk/dp/B00TSP5BZM/
39,"Gaterol Travel – Door and Staircase Travel Safety Gate / 67cm to 98cm / Compact and Easy to dismantle with Travel Bag/Black/no-Screw, Pressure-fit/Height 74 cm.",B0771NXX6M,Gaterol,Baby Products,29.99,6534,37,1110,39,,3.6,1.8,https://www.amazon.co.uk/dp/B0771NXX6M/
40,Lindam Wall Fix Extending Metal Safety Gate (Push to Shut/Easy Close),B01AJSW0FK,Lindam,Baby Products,28.99,1675,196,5682,315,Feb 1 2009,4.1,4.2,https://www.amazon.co.uk/dp/B01AJSW0FK/
41,Safetots Top of The Stairs Screw Fitted Stair Gate (Black Metal),B07JMSLSWC,Safetots,Baby Products,25.95,26426,9,234,22,,4.3,4.04,https://www.amazon.co.uk/dp/B07JMSLSWC/
42,"Safety 1st Wall Fix Extending Wide Safety Metal Gate, Ideal for Kids and Pets, 62 to 102 cm, White",B00IONGJK0,Safety 1st,Baby Products,0,5553,43,,398,Jul 7 2014,4.4,4.27,https://www.amazon.co.uk/dp/B00IONGJK0/
43,"Baby Dan Multi Dan European Beech Wood Door and Stairs Safety Gate, Door Width 60.5-102 cm Colour: Natural",B00HPQTLSO,BabyDan,Baby Products,37.9,32839,7,265,61,Mar 7 2018,4.1,3.45,https://www.amazon.co.uk/dp/B00HPQTLSO/
44,SAILUN Baby Safety Gate Playpen 5 Panel Adjustable Hearth Gate with Door Play Yard Metal Fireplace Fence Christmas Tree Gate Baby Safety Barrier Fence Guard for Pet Child Toddler Dog Cat,B083FKFRD3,SAILUN.,Baby Products,45.9,6099,40,1836,0,--,4.1,N/A,https://www.amazon.co.uk/dp/B083FKFRD3/
45,"BabyDan Multidan Metal Gate Door/Stairs Black 106,8&nbsp;62.5&nbsp;cm",B01CZZ6TPW,Baby Dan,Baby Products,33.63,23468,10,336,139,,4.4,3.5,https://www.amazon.co.uk/dp/B01CZZ6TPW/
