#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
22,"Professional Jigsaw Puzzle Roll Mat Black Felt Mat Up to 1500 Pieces Storage (Puzzle blanket with tool kit, Grey)",B08732FGRG,Panthem,Toys & Games,13.99,41041,38,532,0,--,5.0,N/A,https://www.amazon.co.uk/dp/B08732FGRG/
23,"Puzzle Roll Mat Puzzle Storage Saver Puzzle, Jigroll Up to 1500 Pieces",B086W8X352,MAWOLY,--,5.49,N/A,,,0,--,5.0,N/A,https://www.amazon.co.uk/dp/B086W8X352/
24,"lidada2019 Puzzle Roll Jigsaw Storage Felt Mat, Jigroll Up to 1500 Pieces, 26''x 46'' Puzzle Storage Pad for Jigsaw Puzzles Saver, No Folded Creases, Come with Drawstring Storage Bag (Black)",B086SXBT24,lidada2019,Toys & Games,0,17611,68,,0,--,1.0,N/A,https://www.amazon.co.uk/dp/B086SXBT24/
25,Jackallo Portable Puzzles Mat Jigsaw Roll Felt Mat Play Mat Puzzles Blanket for Up to 1500 Pieces Puzzles Travel Storage Bag,B086MFQDY2,Jackallo,Toys & Games,0,109972,24,,0,--,5.0,0.45,https://www.amazon.co.uk/dp/B086MFQDY2/
26,"N / A Puzzle Roll Jigsaw Storage Felt Mat Environmental Friendly Material for Jigsaw Puzzle Player Jigroll Up to 1,500 Pieces - Comes with A Drawstring Opening Design Bag",B086L3PFCB,N / A,Toys & Games,9.99,16446,71,709,0,--,5.0,N/A,https://www.amazon.co.uk/dp/B086L3PFCB/
27,"ChicSoleil Puzzle Mat Puzzle Storage Felt Roll, Jigroll Up To 3,000 Pieces, Jigsaw Felt Mat Roll Portable Play Mat With Drawstring Storage Bag",B0878XSZ55,ChicSoleil,Toys & Games,12.59,38765,39,491,0,--,0.0,0.5,https://www.amazon.co.uk/dp/B0878XSZ55/
28,Bireegoo Jigsaw Roll Felt Mat Portable Puzzles Mat Jigsaw Puzzle Roll Mat Felt Mat Puzzles Blanket Jumbo Puzzle Mates Puzzle For Up to 1500 Pieces Puzzle No accessories,B086MCVFM7,Bireegoo,Toys & Games,0,28286,48,,1,,1.0,0.18,https://www.amazon.co.uk/dp/B086MCVFM7/
29,"BOMING Jigsaw Saver Jigroll Up to 1500 Pieces, Puzzle Roll Mat Puzzle Storage Puzzle",B086RCMLNR,BOMING,Toys & Games,7.65,93864,25,191,0,--,1.0,0.3,https://www.amazon.co.uk/dp/B086RCMLNR/
30,"Winthai Puzzle Roll, Puzzle Storage Mat with Inflatable Tube Pump Storage Bag for Puzzle Jigsaw Player,1500 Pieces",B08537LP6K,Winthai,Toys & Games,0,68230,29,,1,,2.0,0.14,https://www.amazon.co.uk/dp/B08537LP6K/
31,"AJFIEF Large Jigsaw Puzzles Floor Jigsaws Puzzle Roll Storage Mat Set Jigroll Up to 2000 Pieces, Puzzle Toy Puzzle Play Intelligence Puzzles Felt puzzle mat with Drawstring Storage Bag (Black)",B086SMYDJC,AJFIEF,Toys & Games,0,94564,25,,0,--,5.0,0.39,https://www.amazon.co.uk/dp/B086SMYDJC/
32,"YUYAOSH Puzzle Roll, Puzzles Mat Large for up to 1500 Pieces Puzzle Play Mat Jigsaw Roll Felt Mat Accessories Travel Storage Blanket Set, (About 66 x 117cm)",B086VYTNGV,YUYAOSH,Toys & Games,0,18099,66,,0,--,3.9,0.18,https://www.amazon.co.uk/dp/B086VYTNGV/
33,Heye Accessories Puzzle Pad (1000-Piece),B00J04A5BG,Heye,Toys & Games,17.99,110769,24,432,40,,4.1,0.5,https://www.amazon.co.uk/dp/B00J04A5BG/
34,Bireegoo Jigsaw Roll Felt Mat Puzzle Mates Jigsaw Puzzle Roll Mat Portable Puzzles Mat Felt Mat Puzzles Blanket Jumbo Puzzle For Up to 1500 Pieces Puzzle,B086MSXTTB,Bireegoo,Toys & Games,0,40145,38,,0,--,1.0,0.45,https://www.amazon.co.uk/dp/B086MSXTTB/
35,LifeStyleMall Jigsaw Puzzle Storage Mat Foldable Jigroll Puzzle Felt Mat Puzzle Saver Puzzle Player 500 1000 1500 Pieces 3 Elastic Fasteners Inflatable Tube With Inflatable pump,B07R2CQLPW,LifeStyleMall,Toys & Games,26.99,7049,141,3806,40,,4.2,0.52,https://www.amazon.co.uk/dp/B07R2CQLPW/
36,"Jigsaw Puzzles Puzzle Roll, Jigsaw Storage Felt Mat, Roll Mat Puzzle Store Mat Felt Mat For Up to 1500 Pieces Puzzles Travel Storage bag (Black)",B086PCCK9T,Jigsaw Puzzles,Toys & Games,2.88,104927,24,69,0,--,1.0,N/A,https://www.amazon.co.uk/dp/B086PCCK9T/
37,"AJFIEF Large Jigsaw Puzzles Floor Jigsaws Puzzle Roll Storage Mat Jigroll Up to 1500 Pieces, Puzzle Toy Puzzle Play Intelligence Puzzles Felt puzzle mat with Drawstring Storage Bag (Black)",B086SMXQWX,AJFIEF,Toys & Games,7.3,90245,26,190,0,--,1.0,0.15,https://www.amazon.co.uk/dp/B086SMXQWX/
